title;price;area;bedroom;toilet;link;address;legal;furniture;post_date;loai_bds;district
N/A;7,09 tỷ;56,7  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-duong-ngoc-chi-xa-vinh-ngoc-1/cuc-hiem-ban-56-7m-thanh-phun-tho-cu-pr44039540;Thôn Vĩnh Thanh, Đường Ngọc Chi, Xã Vĩnh Ngọc, Đông Anh, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;11/10/2025;Đất nền/Thổ cư;N/A
N/A;56 tỷ;150  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/ban-150m3-x-4-tang-1-ham-moi-san-so-sat-cong-vien-gia-56-ty-co-tl-pr43446874;Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội;Sổ đỏ/ Sổ hồng;Không nội thất;17/10/2025;Biệt thự/Liền kề;N/A
N/A;33 tỷ;150  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-hai-au-02-xa-da-ton-prj-vinhomes-ocean-park-gia-lam/song-lap-2-co-thang-may-30-dang-cho-thue-dong-tien-32tr-thang-tai-vin-1-lam-pr43951557;Dự án Vinhomes Ocean Park Gia Lâm, Đường Hải Âu 02, Xã Đa Tốn, Gia Lâm, Hà Nội;Có sổ.;N/A;18/10/2025;Biệt thự/Liền kề;N/A
N/A;9 tỷ;90,3  m²;N/A;N/A;https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-thuong-1-prj-sunshine-riverside/ban-3-ngu-90m2-view-cau-nhat-tan-song-ko-tam-linh-gia-9-ty-so-pr44296681;Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội;Sổ đỏ/ Sổ hồng;Đầy đủ;16/10/2025;Căn hộ chung cư;N/A
N/A;45 tỷ;100  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-mat-pho-duong-au-co-phuong-quang-an-2/chinh-chu-ban-dt-100m2-mt-5m-o-to-tranh-via-he-song-song-xuan-dieu-pr44289695;Đường Âu Cơ, Phường Quảng An, Tây Hồ, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;15/10/2025;Nhà riêng/Khác;N/A
N/A;10,3 tỷ;76  m²;N/A;N/A;https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-times-city/ban-gap-2-ngu-2-ve-sinh-cam-ket-co-slot-oto-co-dinh-nhu-anh-o-lien-he-pr43857170;Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội;Sổ đỏ/ Sổ hồng;Đầy đủ;18/10/2025;Căn hộ chung cư;N/A
N/A;7,25 tỷ;45  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-rieng-duong-lai-xa-xa-kim-chung-1/ban-45m2-canh-cho-hoai-duc-thiet-ke-7-phong-ngu-dong-tien-25trieu-thang-pr42438965;Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội;Sổ đỏ/ Sổ hồng;Cơ bản;16/10/2025;Nhà riêng/Khác;N/A
N/A;10 tỷ;104,1  m²;N/A;N/A;https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-ngac-prj-sunshine-city/ban-goc-3-ngu-104-1-m2-2-ban-cong-thoang-tang-cao-thoang-10-ty-so-pr44117857;Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội;Sổ đỏ/ Sổ hồng;Đầy đủ;18/10/2025;Căn hộ chung cư;N/A
CC bán: Studio 2.2 tỷ, 1PN + 3 tỷ , 2PN 55m2 3.9 tỷ, 2PN 64m2 4.3 tỷ, 3PN 5tỷ KĐT Vinhomes Smart;3 tỷ;43  m²;1 PN;1 WC;https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/cc-ban-studio-2-2-ty-1pn-3-ty-2pn-55m2-3-9-ty-2pn-64m2-4-3-ty-3pn-5ty-kdt-smart-pr44314022;Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội;Sổ đỏ/ Sổ hồng.;Đầy đủ.;18/10/2025;Căn hộ chung cư;N/A
N/A;4,7 tỷ;30,3  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-rieng-xa-van-canh-1/-4-tang-re-nhat-co-san-de-xe-cach-150m-ra-truc-duong-nhua-o-to-pr41433488;Xã Vân Canh, Hoài Đức, Hà Nội;Sổ đỏ/ Sổ hồng;Cơ bản.;17/10/2025;Nhà riêng/Khác;N/A
N/A;12,5 tỷ;120,7  m²;N/A;N/A;https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-thuong-1-prj-sunshine-riverside/ban-4-ngu-tay-full-do-dep-120-7-m2-tng-thuy-gia-12-5-ty-so-do-pr44304506;Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội;Sổ đỏ/ Sổ hồng;Đầy đủ nội thất cao cấp: Điều hòa âm trần Daikin, TBVS Kohler, sàn gỗ, smarthome 4.0,..;17/10/2025;Căn hộ chung cư;N/A
